"filename", "language", "Batch", "JSON", "CSS", "XML", "HTML", "JavaScript", "Markdown", "C#", "Properties", "Shell Script", "comment", "blank", "total"
"z:\mDB\Hiragana_Teacher\Sets\2245253605070420.json", "JSON", 0, 54, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 54
"z:\mDB\Hiragana_Teacher\Sets\2245253605070421.json", "JSON", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"z:\mDB\Hiragana_Teacher\Sets\2337898820527821.json", "JSON", 0, 39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 39
"z:\mDB\Hiragana_Teacher\Sets\2726697452412871.json", "JSON", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"z:\mDB\Hiragana_Teacher\Sets\2846304082291921.json", "JSON", 0, 39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 39
"z:\mDB\Hiragana_Teacher\Sets\2882061288088905.json", "JSON", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"z:\mDB\Hiragana_Teacher\Sets\3.json", "JSON", 0, 47, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 47
"z:\mDB\Hiragana_Teacher\Sets\3626650220099945.json", "JSON", 0, 39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 39
"z:\mDB\Hiragana_Teacher\Sets\3684422500212639.json", "JSON", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"z:\mDB\Hiragana_Teacher\Sets\4.json", "JSON", 0, 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 30
"z:\mDB\Hiragana_Teacher\Sets\4446270415405443.json", "JSON", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"z:\mDB\Hiragana_Teacher\Sets\5.json", "JSON", 0, 147, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 147
"z:\mDB\Hiragana_Teacher\Sets\579241985125747.json", "JSON", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"z:\mDB\Hiragana_Teacher\Sets\579241985125748.json", "JSON", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"z:\mDB\Hiragana_Teacher\Sets\579241985125749.json", "JSON", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"z:\mDB\Hiragana_Teacher\Sets\6267681291242027.json", "JSON", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"z:\mDB\Hiragana_Teacher\Sets\6414662974164699.json", "JSON", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"z:\mDB\Hiragana_Teacher\Sets\6828184604903257.json", "JSON", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"z:\mDB\Hiragana_Teacher\Sets\7564568741187361.json", "JSON", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"z:\mDB\Hiragana_Teacher\SignUp.html", "HTML", 0, 0, 0, 0, 37, 0, 0, 0, 0, 0, 0, 2, 39
"z:\mDB\Hiragana_Teacher\SignUp.js", "JavaScript", 0, 0, 0, 0, 0, 17, 0, 0, 0, 0, 2, 4, 23
"z:\mDB\Hiragana_Teacher\index.css", "CSS", 0, 0, 152, 0, 0, 0, 0, 0, 0, 0, 2, 28, 182
"z:\mDB\Hiragana_Teacher\index.html", "HTML", 0, 0, 0, 0, 99, 0, 0, 0, 0, 0, 0, 16, 115
"z:\mDB\Hiragana_Teacher\index.js", "JavaScript", 0, 0, 0, 0, 0, 459, 0, 0, 0, 0, 85, 113, 657
"z:\mDB\Index_BG.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"z:\mDB\Modules\GetSiteMap.js", "JavaScript", 0, 0, 0, 0, 0, 22, 0, 0, 0, 0, 5, 4, 31
"z:\mDB\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 1, 3
"z:\mDB\client.css", "CSS", 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 2, 11
"z:\mDB\index.css", "CSS", 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 4, 25
"z:\mDB\index.html", "HTML", 0, 0, 0, 0, 35, 0, 0, 0, 0, 0, 0, 0, 35
"z:\mDB\index.js", "JavaScript", 0, 0, 0, 0, 0, 279, 0, 0, 0, 0, 37, 37, 353
"z:\mDB\index_old.html", "HTML", 0, 0, 0, 0, 34, 0, 0, 0, 0, 0, 3, 6, 43
"z:\mDB\mDB\1\1\1.json", "JSON", 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5
"z:\mDB\mDB\1\1\2.json", "JSON", 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12
"z:\mDB\mDB\1\seriesInfo.json", "JSON", 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6
"z:\mDB\mDB\2\1\1.json", "JSON", 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7
"z:\mDB\mDB\2\1\2.json", "JSON", 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5
"z:\mDB\mDB\2\1\3.json", "JSON", 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5
"z:\mDB\mDB\2\1\4.json", "JSON", 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5
"z:\mDB\mDB\2\1\5.json", "JSON", 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5
"z:\mDB\mDB\2\1\6.json", "JSON", 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5
"z:\mDB\mDB\2\1\7.json", "JSON", 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5
"z:\mDB\mDB\2\2\1.json", "JSON", 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7
"z:\mDB\mDB\2\seriesInfo.json", "JSON", 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6
"z:\mDB\new_index.css", "CSS", 0, 0, 44, 0, 0, 0, 0, 0, 0, 0, 0, 10, 54
"z:\mDB\nodemon.json", "JSON", 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3
"z:\mDB\package-lock.json", "JSON", 0, 2726, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2727
"z:\mDB\package.json", "JSON", 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 28
"z:\mDB\page_index.js", "JavaScript", 0, 0, 0, 0, 0, 24, 0, 0, 0, 0, 3, 3, 30
"z:\mDB\projects\3D_Scanner_Comparison.html", "HTML", 0, 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 1, 18
"z:\mDB\projects\AIImageViewerWarningPage.html", "HTML", 0, 0, 0, 0, 39, 0, 0, 0, 0, 0, 0, 6, 45
"z:\mDB\projects\AI_Colabs.html", "HTML", 0, 0, 0, 0, 42, 0, 0, 0, 0, 0, 0, 2, 44
"z:\mDB\projects\ASXPDF_Confirmation_page.html", "HTML", 0, 0, 0, 0, 25, 0, 0, 0, 0, 0, 0, 1, 26
"z:\mDB\projects\American_Journey_Scans.html", "HTML", 0, 0, 0, 0, 42, 0, 0, 0, 0, 0, 0, 4, 46
"z:\mDB\projects\CFG_Files.html", "HTML", 0, 0, 0, 0, 33, 0, 0, 0, 0, 0, 0, 3, 36
"z:\mDB\projects\Download_Site.sh", "Shell Script", 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 4
"z:\mDB\projects\MGTA_List.css", "CSS", 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 1, 10
"z:\mDB\projects\MGTA_List.html", "HTML", 0, 0, 0, 0, 40, 0, 0, 0, 0, 0, 0, 2, 42
"z:\mDB\projects\Modules\GetAmericanJourneyChapters.js", "JavaScript", 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 2, 0, 11
"z:\mDB\projects\Projects.html", "HTML", 0, 0, 0, 0, 71, 0, 0, 0, 0, 0, 0, 7, 78
"z:\mDB\projects\RollForSandwich.html", "HTML", 0, 0, 0, 0, 38, 0, 0, 0, 0, 0, 0, 1, 39
"z:\mDB\projects\Sandwich.css", "CSS", 0, 0, 37, 0, 0, 0, 0, 0, 0, 0, 0, 5, 42
"z:\mDB\projects\Sandwich.js", "JavaScript", 0, 0, 0, 0, 0, 127, 0, 0, 0, 0, 31, 28, 186
"z:\mDB\projects\index.html", "HTML", 0, 0, 0, 0, 37, 0, 0, 0, 0, 0, 0, 2, 39
"z:\mDB\projects\mgta.gmu.edu\courses\index.html", "HTML", 0, 0, 0, 0, 54, 0, 0, 0, 0, 0, 4, 6, 64
"z:\mDB\projects\mgta.gmu.edu\courses\main.css", "CSS", 0, 0, 102, 0, 0, 0, 0, 0, 0, 0, 9, 25, 136
"z:\mDB\start.bat", "Batch", 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2
"z:\mDB\toc.html", "HTML", 0, 0, 0, 0, 82, 0, 0, 0, 0, 0, 0, 0, 82
"z:\mDB\topnav.css", "CSS", 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 3, 24
"z:\mDB\users\139225.json", "JSON", 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4
"z:\mDB\users\177013.json", "JSON", 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4
"z:\mDB\users\180992.json", "JSON", 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4
"z:\mDB\users\455534.json", "JSON", 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4
"z:\mDB\users\523320.json", "JSON", 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4
"z:\mDB\users\683257.json", "JSON", 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4
"z:\mDB\users\872246.json", "JSON", 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4
"z:\mDB\users\980749.json", "JSON", 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4
"Total", "-", 2, 3541, 454, 72, 1639, 2893, 2, 165, 11, 4, 645, 932, 10360
